article_index,article_title,article_date,sentence,category
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023," (Samar  Abu  Elouf/The  New  York  Times)



















An  Israeli  soldier  mourns  at  the  funeral  of  Col.  Roi  Levy,  an  Israeli  soldier  killed  when  Palestinian  militants  infiltrated  Israel,  in  the  Mount  Herzl  military  cemetery  in  Jerusalem,  Monday,  Oct.  9,  2023. ",israel
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023," (Samar  Abu  Elouf/The  New  York  Times)



















Mourners  at  the  funeral  of  Col.  Roi  Levy,  an  Israeli  soldier  killed  when  Palestinian  militants  infiltrated  Israel,  in  the  Mount  Herzl  military  cemetery  in  Jerusalem,  Monday,  Oct.  9,  2023. ",israel
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023," (Yoni  Asher  via  The  New  York  Times)



















Residents  transport  the  body  of  a  person  killed  after  Israel’s  retaliation  in  Gaza  City,  on  Sunday,  Oct.  8,  2023. ",palestine
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023," (Tamir  Kalifa/The  New  York  Times)



















A  woman  mourns  near  the  body  of  a  person  killed  after  Israel’s  retaliation  in  Gaza  City,  on  Sunday,  Oct.  8,  2023. ",palestine
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023," (Tamir  Kalifa/The  New  York  Times)



















Mourners  at  the  funeral  of  Palestinians  killed  in  Israeli  airstrikes  in  Khan  Yunis,  Gaza,  Oct.  10,  2023. ",palestine
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023," (Yousef  Masoud/The  New  York  Times)



















Residents  carry  the  body  of  a  person  who  was  killed  after  Israel\u2019s  retaliation  near  the  Al-Shifa  Hospital,  in  Gaza  City  on  Sunday,  Oct.  8,  2023. ",palestine
15,There Is a Jewish Hope for Palestinian Liberation. It Must Survive.,10/14/2023," And perhaps one day, when it finally becomes hideously clear that Hamas cannot free Palestinians by murdering children and Israel cannot subdue Gaza, even by razing it to the ground, those communities may become the germ of a mass movement for freedom that astonishes the world, as Black and white South Africans did decades ago. 
",israel
17,Israel Can Defend Itself And Still Uphold Its Values,10/16/2023," They  killed  the  very  young  and  the  very  old,  the  strong  and  the  weak,  civilians  and  soldiers;  they  took  some  150  hostages,  including  children,  and  survivors  said  the  attackers  raped  women  --  all  to  send  a  message  that  no  Israeli  was  safe.Israel  has  a  responsibility  to  its  citizens  to  hold  accountable  the  perpetrators  of  this  violence,  but  as  Secretary  of  State  Antony  Blinken  said  this  week,  “How  Israel  does  this  matters.”",israel
18,Israeli closures sweep the West Bank as tensions between Palestinians and Israeli forces rise.,10/16/2023," At  least  seven  Palestinians  have  been  killed  and  numerous  others  have  been  wounded,  according  to  statements  from  the  Palestinian  Health  Ministry.
",palestine
18,Israeli closures sweep the West Bank as tensions between Palestinians and Israeli forces rise.,10/16/2023,\nAt  least  one  Palestinian  was  killed  in  gun  battles  during  one  such  raid  on  a  refugee  camp  near  Jericho. ,palestine
18,Israeli closures sweep the West Bank as tensions between Palestinians and Israeli forces rise.,10/16/2023," At  least  59  Palestinians  have  been  killed  in  clashes  with  the  Israeli  Army  and  Jewish  settlers  since  the  war  started,  according  to  the  Palestinian  Health  Ministry. ",palestine
18,Israeli closures sweep the West Bank as tensions between Palestinians and Israeli forces rise.,10/16/2023, The  United  Nations  said  on  Monday  that  the  number  of  West  Bank  Palestinians  killed  since  the  war  started  was  the  highest  recorded  number  of  Palestinians  killed  in  a  single  week  since  2017.,palestine
18,Israeli closures sweep the West Bank as tensions between Palestinians and Israeli forces rise.,10/16/2023, The  United  Nations  said  on  Monday  that  the  number  of  West  Bank  Palestinians  killed  since  the  war  started  was  the  highest  recorded  number  of  Palestinians  killed  in  a  single  week  since  2017.,palestine
19,False Claims Around Israel Attacks Include Recycled Videos and a Game Clip,10/11/2023,"In  the  days  since  Hamas  attacked  Israel,  killing  more  than  1,200  people  in  sweeping  assaults  on  kibbutzim,  a  music  festival,  towns  and  other  places,  violent  images  and  graphic  videos  have  flooded  social  media.
",israel
19,False Claims Around Israel Attacks Include Recycled Videos and a Game Clip,10/11/2023,"
The  false  information  circulating  online  risks  clouding  real  evidence  of  atrocities  that  is  emerging  as  Israeli  soldiers  retake  control  of  places  that  were  attacked:  videos  and  photos,  corroborated  by  witness  accounts,  that  show  that  Palestinian  gunmen  attacked  and  killed  Israeli  civilians  in  large  numbers. ",israel
20,Palestinian Militants Stage Attack On Israel,10/8/2023," Israel  retaliated  with  huge  strikes  on  Gazan  cities,  and  the  Gaza  Health  Ministry  said  at  least  234  Palestinians  had  been  killed  in  either  gun  battles  or  airstrikes.In  an  assault  without  recent  precedent  in  its  complexity  and  scale,  the  militants  crossed  into  Israel  by  land,  sea  and  air,  according  to  the  Israeli  military,  leading  to  some  of  the  first  pitched  battles  between  Israeli  and  Arab  forces  on  Israeli  soil  in  decades.Unverified  video  footage,  circulated  by  Hamas,  the  Iran-backed  militant  group  that  controls  the  Gaza  Strip,  appeared  to  show  some  Palestinian  gunmen  arriving  in  Israel  in  a  sort  of  makeshift  hang  glider.Residents  of  Israeli  border  towns  told  broadcasters  that  gunmen  were  moving  door  to  door,  looking  for  civilians. ",palestine
20,Palestinian Militants Stage Attack On Israel,10/8/2023," Three  Palestinians  died  in  clashes  on  Saturday  with  Israeli  security  forces  in  the  West  Bank,  according  to  Palestinian  officials.United  Nations  peacekeepers  said  they  were  bolstering  their  activity  on  Israel's  border  with  southern  Lebanon,  where  Hezbollah  holds  sway,  particularly  after  a  skirmish  with  Israeli  troops  along  the  border  on  Saturday.The  timing  of  the  assault  was  striking,  hitting  Israel  at  one  of  the  most  difficult  moments  in  its  history. ",palestine
20,Palestinian Militants Stage Attack On Israel,10/8/2023," They  had  expected  the  Gaza  front  to  remain  quiet  for  the  foreseeable  future,  after  international  mediators  appeared  to  have  persuaded  Hamas  to  end  a  recent  weekslong  series  of  riots  and  protests  on  the  border  with  Israel.In  recent  months,  Israel  had  been  allowing  up  to  18,000  workers  to  cross  daily  from  Gaza  into  Israel,  helping  Gaza's  economy  and  adding  to  a  general  sense  that  calm  would  prevail.Hamas's  rocket  arsenal  was  considered  to  be  its  primary  weapon  because  the  Israeli  Army  had  secured  the  land  border  with  walls  and  other  fortifications,  making  a  ground  invasion  difficult.But  early  Saturday  morning,  Palestinian  militants  appeared  to  circumvent  the  border  with  relative  ease,  swiftly  forcing  their  way  through  gaps  in  the  fortifications  and  fanning  out  into  several  towns,  army  bases  and  the  city  of  Sderot.The  head  of  a  local  council  in  southern  Israel,  Ofir  Libstein,  was  killed  in  a  subsequent  gunfight  with  militants,  the  council  announced.In  desperate  interviews  with  Israeli  broadcasters,  residents  of  the  Israeli  border  towns  said  the  gunmen  were  walking  through  their  houses,  forcing  them  to  barricade  themselves  in  their  bomb  shelters  --  a  common  feature  of  Israeli  homes.The  Israeli  response  came  first  by  land,  in  the  towns  invaded  by  militants,  and  then  by  air,  as  its  air  force  struck  locations  across  the  Gaza  Strip.Gazan  civilians  had  first  reacted  with  jubilation  to  the  attacks  on  Israel,  as  crowds  greeted  returning  militants  like  heroes,  video  showed.But  those  celebrations  quickly  turned  to  fear  as  the  Israeli  response  began.The  streets  of  Gaza  City,  the  enclave's  largest  urban  area,  emptied  out  as  residents  gathered  at  schools  to  take  shelter. ",israel
20,Palestinian Militants Stage Attack On Israel,10/8/2023,"More than 200 Palestinians have been killed in the West Bank so far this year, often during gun battles between militants and the Israeli army -- a two-decade high.",palestine
20,Palestinian Militants Stage Attack On Israel,10/8/2023,"At least 36 Israelis had been killed this year before Saturday's attack -- also a two-decade high.The Hamas assault was condemned by most Western countries, but praised by Israel's enemies -- including Hezbollah and Iran, which saw it as a sign of Israeli weakness.The spokesman for Iran's Ministry of Foreign Affairs, Naser Kanani, said that ""today's operation opened a new chapter in the field of resistance and armed operations against the occupiers in the occupied territories.""",israel
20,Palestinian Militants Stage Attack On Israel,10/8/2023, (PHOTOGRAPHS  BY  SAMAR  ABU  ELOUF  FOR  THE  NEW  YORK  TIMES);  EARLY  CASUALTIES:  Bodies  of  Israelis  killed  by  militants  in  the  city  of  Sderot. ,israel
22,"Muslim Boy, 6, Mourned in Illinois After Attack Called Hate Crime",10/17/2023,"The  assault  on  Saturday  came  amid  increasing  violence  between  Israel  and  Hamas,  the  Palestinian  group  that  controls  the  Gaza  Strip.On  Oct.  7,  Hamas  unleashed  a  surprise  attack  against  Israel  that  left  more  than  1,400  Israelis  dead,  prompting  intense  retaliation  that  has  killed  about  2,800  people  in  Gaza,  according  to  officials  there. ",both
24,Israel Will Evacuate Towns Near Its Border With Lebanon as Tensions Escalate,10/16/2023," On  Sunday,  Hezbollah  claimed  responsibility  for  an  attack  that  day  in  Israel  that  killed  at  least  one  civilian. 
",israel
27,The Moral Deficiencies of a Liberal Education,10/17/2023," The  attackers  intentionally  targeted  and  killed  over  1,000  civilians. ",israel
27,The Moral Deficiencies of a Liberal Education,10/17/2023," They  killed  babies  and  children,  people  attending  a  concert,  and  people  from  Thailand,  Nepal  and  more  than  a  dozen  countries  who  could  hardly  be  responsible  for  the  decades  of  Israeli-Palestinian  violence,  as  if  that  could  be  any  justification. ",israel
27,The Moral Deficiencies of a Liberal Education,10/17/2023," And  then  these  same  gunmen  took  civilian  hostages,  with  the  explicitly  articulated  intention  to  use  them  as  deterrence  and,  if  that  failed,  to  execute  them.
",israel
28,What More Must the Children of Gaza Suffer?,10/13/2023," At  least  326  children  in  the  Gaza  Strip  have  been  killed  since  Saturday,  according  to  the  Ministry  of  Health  here. ",palestine
28,What More Must the Children of Gaza Suffer?,10/13/2023," Women  and  children  from  my  extended  family  were  killed  in  an  attack  on  Tuesday,  and  my  cousin  was  killed  on  Wednesday. ",palestine
28,What More Must the Children of Gaza Suffer?,10/13/2023," Women  and  children  from  my  extended  family  were  killed  in  an  attack  on  Tuesday,  and  my  cousin  was  killed  on  Wednesday. ",palestine
28,What More Must the Children of Gaza Suffer?,10/13/2023," Dread  grows  inside  me,  as  I  know  the  worst  is  yet  to  come.Over  2,300  Israelis  and  Palestinians  have  been  killed  so  far,  the  majority  of  them  civilians. ",both
31,Invading Gaza Now Is a Mistake,10/17/2023," “Our  commitment  is  to  the  families  of  the  murdered  and  the  kidnapped  hostages  —  not  to  the  Hamas  murderers  and  those  who  aided  them.”
",israel
32,Gaza’s Hospitals Face ‘Impossible’ Choices With Israel Evacuation Order,10/15/2023,"
Friday’s  evacuation  order  came  as  Israel  has  been  pummeling  the  territory  with  airstrikes  in  response  to  the  attack  last  week  by  Hamas,  the  group  that  controls  Gaza,  which  killed  more  than  1,300  people. ",israel
32,Gaza’s Hospitals Face ‘Impossible’ Choices With Israel Evacuation Order,10/15/2023,"
At  least  2,760  Palestinians  in  Gaza  have  been  killed  since  last  Saturday,  the  Palestinian  Health  Ministry  said. ",palestine
32,Gaza’s Hospitals Face ‘Impossible’ Choices With Israel Evacuation Order,10/15/2023,"
On  Friday,  an  Israeli  airstrike  struck  a  convoy  of  vehicles  trying  to  flee  the  north  along  a  main  highway,  according  to  the  Palestinian  Health  Ministry  in  Gaza,  killing  70  people  and  injuring  200. ",palestine
