article_index,article_title,article_date,sentence,category,auto_tagged_voice
24,"Biden's Aid, and Pointed Advice, to Israe",2023-10-20," By  providing  military  aid  to  Israel,  the  U.S.  government  is  fueling  the  Israeli  government's  vastly  disproportionate  response,  in  which  it  has  already  killed  more  Palestinian  civilians  than  Israeli  civilians  were  killed  by  Hamas.Mr. ",both,ACTIVE
24,"Biden's Aid, and Pointed Advice, to Israe",2023-10-20," By  providing  military  aid  to  Israel,  the  U.S.  government  is  fueling  the  Israeli  government's  vastly  disproportionate  response,  in  which  it  has  already  killed  more  Palestinian  civilians  than  Israeli  civilians  were  killed  by  Hamas.Mr. ",both,PASSIVE
24,"Biden's Aid, and Pointed Advice, to Israe",2023-10-20," Biden  may  have  urged  the  Israeli  people  not  to  be  consumed  by  the  rage  they  feel  about  the  Hamas  terror  attacks,  but  that  statement  is  completely  contradicted  by  his  sending  the  very  weapons  that  the  Israeli  military  is  using  to  kill  civilians.The  U.S.  can  stop  this  immoral  violence,  but  instead  is  fanning  the  flames  by  providing  support  for  the  autocratic  Israeli  government. ",palestine,ACTIVE
210,"As essential resources dwindle in the Gaza Strip, residents turn to polluted water for survival.",2023-10-18,"
Israel  has  blocked  fuel  from  reaching  Gaza  as  part  of  what  it  has  called  its  “complete  siege”  of  the  strip,  in  retaliation  for  the  Hamas  terrorist  attacks,  which  killed  more  than  1,400  Israelis. ",israel,ACTIVE
661,Turmoil Over Student Support for Hamas,2023-10-20,"
The  savage  murders  of  Israeli  babies  and  senior  citizens  in  their  homes  and  the  rape  of  young  Israeli  women  do  not  seem  to  perturb  Hamas’s  many  followers  at  Harvard  and  Columbia,  but  don’t  they  realize  that  Hamas  brutally  persecutes  the  L.G.B.T.Q.  community  in  Gaza,  subjugates  women,  and  tortures  and  summarily  executes  dissidents?
",israel,
1172,"Peace, a Forgotten Word, Renews its Claim in the Holy Land",2023-10-22," A  Palestinian  Israeli  paramedic,  he  died  in  a  desperate  attempt  to  save  the  lives  of  Jews  at  the  Tribe  of  Nova  peace-and-love  gathering  that  marked  the  Jewish  holiday  of  Sukkot.
",israel,ACTIVE
1172,"Peace, a Forgotten Word, Renews its Claim in the Holy Land",2023-10-22,"
A  young  Palestinian  Israeli  citizen  committed  to  peace  and  killed  by  Islamist  Hamas  terrorists  in  the  Jewish  homeland,  Awad  Darawshe  may  appear  to  be  an  apt  symbol  of  the  utter  defeat  of  the  bridge-builders  still  committed  to  a  peaceful  settlement  of  the  Israeli-Palestinian  conflict. ",israel,
1172,"Peace, a Forgotten Word, Renews its Claim in the Holy Land",2023-10-22,"
Mr.  Gitzin,  like  many  Israelis,  has  experienced  “a  feeling  of  devastation,  of  being  killed  from  within,”  since  the  Hamas-led  slaughter  of  more  than  1,400  people.
",israel,PASSIVE
370,Israel Is About to Make a Terrible Mistake,2023-10-19," Settlers  there  have  killed  at  least  seven  Palestinian  civilians  in  acts  of  revenge  in  just  the  past  week.
",palestine,ACTIVE
370,Israel Is About to Make a Terrible Mistake,2023-10-19," After  that  rocket  failed  and  fell  on  the  Palestinian  hospital  in  Gaza,  killing  scores  of  people,  Hamas  and  Islamic  Jihad  rushed  out  and  claimed  —  with  no  evidence  —  that  Israel  had  deliberately  bombed  the  hospital,  setting  streets  ablaze  across  the  Arab  world. ",palestine,
773,The Danger Of Jumping To Conclusions,2023-10-22," It's  an  epistemological  catastrophe  that  is  putting  people's  lives  in  danger.I  went  to  bed  on  Tuesday  night  assuming,  as  many  people  did,  that  an  Israeli  airstrike  had  killed  at  least  500  people  in  Al-Ahli  hospital  in  Gaza. ",palestine,ACTIVE
773,The Danger Of Jumping To Conclusions,2023-10-22, Palestinian  leaders  claimed  Israel  had  committed  a  massacre;  the  Palestinian  official  Saeb  Erekat  told  CNN  that  at  least  500  people  had  been  killed. ,palestine,PASSIVE
137,"Passion for Palestinian Cause Had Faded, but Violence in Gaza Reignited It",2023-10-20,"
The  climate  shifted  noticeably  after  Hamas,  the  Palestinian  group  that  controls  Gaza,  attacked  southern  Israel  on  Oct.  7  and  killed  roughly  1,400  people. ",israel,ACTIVE
137,"Passion for Palestinian Cause Had Faded, but Violence in Gaza Reignited It",2023-10-20, That  unleashed  a  barrage  of  Israeli  airstrikes  on  the  crowded  and  impoverished  Gaza  Strip  that  Gaza  health  authorities  say  have  killed  thousands. ,palestine,ACTIVE
137,"Passion for Palestinian Cause Had Faded, but Violence in Gaza Reignited It",2023-10-20,"
On  Tuesday,  an  explosion  struck  a  Gaza  hospital  and  the  Hamas-run  health  ministry  in  the  territory  immediately  blamed  an  Israeli  airstrike  and  said  at  least  500  people  had  been  killed. ",palestine,PASSIVE
1110,Families of Hamas Hostages Split on Invasion of Gaza,2023-10-18," She  has  since  learned  that  her  ex-husband,  his  partner  and  her  son  had  been  killed  in  the  attacks.
",israel,PASSIVE
872,Why Jews Cannot Stop Shaking Right Now,2023-10-22,"
On  Oct.  7,  a  Jewish  holiday,  Hamas  terrorists  went  house  to  house  in  southern  Israel  murdering  and  abducting  children  and  grandparents,  pulling  them  from  their  beds,  displaying  victims’  dead  bodies  online,  in  a  massacre  of  at  least  1,400  people. ",israel,ACTIVE
872,Why Jews Cannot Stop Shaking Right Now,2023-10-22, (Far  more  Jews  were  killed  on  Oct.  7  than  on  Kristallnacht.) ,israel,PASSIVE
653,Hochul Mourns Her Father As She Presses On in Israel,2023-10-20," Hochul's  grief  made  some  of  her  exchanges  in  Israel  seem  more  poignant,  as  she  sought  to  comfort  families  whose  relatives  had  been  killed  or  kidnapped  by  Hamas  gunmen,  and  as  she  visited  a  kibbutz  about  a  mile  from  the  Gaza  border  to  survey  the  aftermath  of  the  Hamas  attacks.Over  the  not-so-distant  sound  of  rocket  fire,  the  governor  toured  the  kibbutz,  Kfar  Aza,  where  evacuated  houses  were  riddled  with  bullet  holes  and  stained  with  blood,  the  stench  of  death  still  in  the  air.",israel,PASSIVE
653,Hochul Mourns Her Father As She Presses On in Israel,2023-10-20," Much  of  her  breakneck  schedule  was  typical  of  the  political  pilgrimages  American  politicians  make  here,  but  set  against  a  much  more  distressing,  and  physically  dangerous,  backdrop.She  landed  in  Israel  just  as  the  country  was  preparing  for  a  ground  invasion  of  Gaza  following  terrorist  attacks  carried  out  by  Hamas,  the  Palestinian  militant  group,  and  escalating  clashes  on  Israel's  northern  border  with  Lebanon.Her  trip  coincided  with  a  spiraling  humanitarian  crisis  in  Gaza,  where  food  and  medicine  is  desperately  needed  following  Israeli  strikes  that  have  razed  entire  neighborhoods  and  killed  at  least  3,785  people,  according  to  Gaza  health  officials.Yet  despite  the  escalating  security  risks,  the  governor  showed  up  and  took  part  in  a  swirl  of  handshaking  and  visits  to  holy  sites,  trailed  by  an  entourage  of  state  police  officers,  plainclothes  Israeli  bodyguards  and  Jewish  American  liaisons  who  helped  put  together  the  trip.Local  journalists  and  Ms.  Hochul's  staff  documented  her  every  move  on  social  media,  garnering  both  praise  from  backers  of  Israel  and  criticism  from  supporters  of  Palestinians  who  have  derided  her  visit  as  politically  opportunistic.The  intense  documentation  was  unsurprising  for  a  trip  that  largely  hinges  on  symbolism. ",palestine,ACTIVE
653,Hochul Mourns Her Father As She Presses On in Israel,2023-10-20," For  the  Israeli  government,  seeking  international  support  for  its  military  response,  it  is  a  timely  endorsement  from  the  leader  of  the  state  that  is  home  to  the  largest  population  of  Jews  outside  of  Israel.Top  Israeli  officials  have  gone  out  of  their  way  to  meet  with  her:  Benjamin  Netanyahu,  the  prime  minister;  Isaac  Herzog,  the  Israeli  president;  and  Michael  Herzog,  Israel's  ambassador  to  the  United  States.But  Ms.  Hochul's  trip  has  also  been  imbued  with  highly  emotional  accounts  from  Israelis  who  survived  the  attacks  on  Oct.  7  that  killed  more  than  1,400  people. ",israel,ACTIVE
653,Hochul Mourns Her Father As She Presses On in Israel,2023-10-20," Those  stories  of  intense  suffering  appeared  to  weigh  heavily  on  the  governor  following  the  news  of  her  father's  sudden  death.On  Wednesday  night,  while  her  father  was  in  critical  condition,  she  emerged  somewhat  shaken  from  a  private  gathering  at  the  home  of  the  parents  of  an  Israeli  soldier  killed  during  the  attacks. ",israel,
230,U.S. Intelligence Agencies Give Lower Estimate for Gaza Hospital Toll,2023-10-19, American  officials  say  the  blast  on  Tuesday  likely  killed  100  to  300  people. ,palestine,ACTIVE
230,U.S. Intelligence Agencies Give Lower Estimate for Gaza Hospital Toll,2023-10-19,"
American  intelligence  agencies  have  assessed  that  a  deadly  blast  at  a  Gaza  hospital  on  Tuesday  killed  100  to  300  people,  a  more  conservative  estimate  than  that  given  by  officials  in  Gaza,  and  that  the  hospital  suffered  light  damage.
",palestine,ACTIVE
983,"In a tiny Israeli village decimated in the Hamas terrorist attacks, residents return to mourn.",2023-10-20, All  were  killed  in  a  massacre  at  the  village  on  Oct.  7. ,israel,PASSIVE
983,"In a tiny Israeli village decimated in the Hamas terrorist attacks, residents return to mourn.",2023-10-20," That  day,  at  least  1,500  attackers  surged  into  Israel  from  Gaza,  sweeping  through  border  villages  like  Kibbutz  Nir  Oz,  and  killed  at  least  1,400  people  and  kidnapped  about  200.
",israel,ACTIVE
983,"In a tiny Israeli village decimated in the Hamas terrorist attacks, residents return to mourn.",2023-10-20,"
Nearly  a  quarter  of  the  village’s  roughly  400  residents  were  killed,  kidnapped  or  reported  missing.
",israel,PASSIVE
25,"Passion for Palestinian Cause Had Faded, but Violence in Gaza Reignited It",2023-10-20,"

The  climate  shifted  noticeably  after  Hamas,  the  Palestinian  group  that  controls  Gaza,  attacked  southern  Israel  on  Oct.  7  and  killed  roughly  1,400  people. ",israel,ACTIVE
25,"Passion for Palestinian Cause Had Faded, but Violence in Gaza Reignited It",2023-10-20, That  unleashed  a  barrage  of  Israeli  airstrikes  on  the  crowded  and  impoverished  Gaza  Strip  that  Gaza  health  authorities  say  have  killed  thousands. ,palestine,ACTIVE
25,"Passion for Palestinian Cause Had Faded, but Violence in Gaza Reignited It",2023-10-20,"
On  Tuesday,  an  explosion  struck  a  Gaza  hospital,  and  the  Hamas-run  health  ministry  in  the  territory  immediately  blamed  an  Israeli  airstrike  and  said  at  least  500  people  had  been  killed. ",palestine,PASSIVE
1311,First Humanitarian Aid Reaches a Hard-Pressed Gaza,2023-10-21,"
Saturday  marked  two  weeks  since  the  Hamas  rampage  that  killed  more  than  1,400  Israelis  and  triggered  Israel’s  declaration  of  war. ",israel,ACTIVE
1311,First Humanitarian Aid Reaches a Hard-Pressed Gaza,2023-10-21,"
As  of  Friday,  at  least  22  journalists  have  been  killed  in  the  war,  according  to  the  Committee  to  Protect  Journalists.
",both,PASSIVE
730,What It Takes to Choose Life Over Revenge,2023-10-19,"
But  in  his  words  I  see  the  many  little  ones  from  the  various  communities  in  Israel  and  Gaza  whose  names  appear  in  news  reports  as  having  been  killed  in  the  past  11  days  —  10  months  old;  1  week  old;  2,  4,  5  years  old. ",both,PASSIVE
730,What It Takes to Choose Life Over Revenge,2023-10-19,"
I  have  friends  who  were  killed  and  who  lost  children  in  Hamas’s  murderous  attack  on  Oct.  7. ",israel,PASSIVE
730,What It Takes to Choose Life Over Revenge,2023-10-19, I  have  friends  who  were  injured  and  killed  in  Gaza  in  the  days  that  followed. ,palestine,
1189,"U.S. Backs Israel, As Cause Of Blast Remains Disputed",2023-10-19," President  Biden  backed  Israel's  claim  that  a  Gaza  City  explosion  that  killed  hundreds,  which  Hamas  blamed  on  Israel,  had  come  from  a  failed  rocket  launch  by  an  armed  Palestinian  group.President  Biden  on  Wednesday  backed  Israel's  contention  that  a  Palestinian  group  had  caused  an  explosion  at  a  Gaza  hospital  that  killed  hundreds  of  people. ",palestine,ACTIVE
1189,"U.S. Backs Israel, As Cause Of Blast Remains Disputed",2023-10-19," President  Biden  backed  Israel's  claim  that  a  Gaza  City  explosion  that  killed  hundreds,  which  Hamas  blamed  on  Israel,  had  come  from  a  failed  rocket  launch  by  an  armed  Palestinian  group.President  Biden  on  Wednesday  backed  Israel's  contention  that  a  Palestinian  group  had  caused  an  explosion  at  a  Gaza  hospital  that  killed  hundreds  of  people. ",palestine,ACTIVE
1189,"U.S. Backs Israel, As Cause Of Blast Remains Disputed",2023-10-19, It  ignited  multiple  fires.Gazan  officials  said  on  Wednesday  that  471  people  had  been  killed  and  hundreds  more  injured. ,palestine,PASSIVE
1189,"U.S. Backs Israel, As Cause Of Blast Remains Disputed",2023-10-19," They  killed  some  1,400  people,  mostly  civilians,  Israeli  officials  say,  and  took  about  200  hostages  back  to  Gaza.Israel  has  retaliated  with  airstrikes,  which  it  says  are  aimed  at  wiping  out  Hamas  and  its  military  infrastructure. ",israel,ACTIVE
1189,"U.S. Backs Israel, As Cause Of Blast Remains Disputed",2023-10-19," The  Gazan  Health  Ministry  said  on  Wednesday  that  3,478  people  had  been  killed  in  Gaza,  including  those  in  the  hospital  strike,  most  of  them  civilians,  with  as  many  as  1,300  others  still  buried  under  rubble.U.N. ",palestine,PASSIVE
1189,"U.S. Backs Israel, As Cause Of Blast Remains Disputed",2023-10-19,"""Children  slaughtered. ",israel,ACTIVE
1189,"U.S. Backs Israel, As Cause Of Blast Remains Disputed",2023-10-19, Babies  slaughtered. ,israel,ACTIVE
1189,"U.S. Backs Israel, As Cause Of Blast Remains Disputed",2023-10-19," Reporting  was  contributed  by  Julian  E.  Barnes,  Adam  Entous,  Helene  Cooper,  Aaron  Boxerman,  David  E.  Sanger,  Hiba  Yazbek,  Raja  Abdulrahim,  Yousur  Al-Hlou,  Christoph  Koettl,  Nadav  Gavrielov,  Monika  Pronczuk,  Farnaz  Fassihi,  Matina  Stevis-Gridneff,  Vivian  Yee  and  Mourad  Hijazy.Mourners  at  a  funeral  in  Gan  Yavne,  Israel,  for  five  members  of  a  family  killed  in  the  Hamas  attack  this  month. ",israel,
1189,"U.S. Backs Israel, As Cause Of Blast Remains Disputed",2023-10-19," Officials  in  Gaza  said  nearly  3,500  people  had  been  killed,  with  many  others  under  rubble. ",palestine,PASSIVE
1298,"For Republicans, All Roads Lead to the U.S.-Mexico Border",2023-10-19,"
Not  long  after  Hamas  terrorists  killed  and  kidnapped  hundreds  of  Israelis  this  month,  a  wave  of  Republicans  —  on  the  presidential  campaign  trail,  in  state  and  congressional  races  and  in  the  far-right  corners  of  conservative  media  —  reached  for  a  familiar  playbook:  tying  the  issue  to  the  nation’s  southern  border.
",israel,ACTIVE
958,"Since the War, Events About Palestinian Culture Have Been Called Off",2023-10-20," Others  cited  sensitivity,  calling  the  cancellations  and  postponements  understandable,  if  unfortunate,  responses  at  a  moment  when  emotions  are  raw:  The  Hamas  attack  killed  at  least  1,400  Israelis  in  what  President  Biden  called  “the  deadliest  day  for  Jews  since  the  Holocaust,”  and  since  then  Israeli  strikes  have  killed  more  than  4,100  people  in  Gaza,  according  to  the  Hamas-run  health  ministry.
",both,ACTIVE
958,"Since the War, Events About Palestinian Culture Have Been Called Off",2023-10-20," Others  cited  sensitivity,  calling  the  cancellations  and  postponements  understandable,  if  unfortunate,  responses  at  a  moment  when  emotions  are  raw:  The  Hamas  attack  killed  at  least  1,400  Israelis  in  what  President  Biden  called  “the  deadliest  day  for  Jews  since  the  Holocaust,”  and  since  then  Israeli  strikes  have  killed  more  than  4,100  people  in  Gaza,  according  to  the  Hamas-run  health  ministry.
",both,ACTIVE
924,Tensions rise as deadly skirmishes continue along Lebanon border.,2023-10-21,"
Omer  Balva,  a  22-year-old  American-Israeli  reservist,  was  killed  by  anti-tank  missile  fire  near  the  Lebanese  border,  the  Israeli  military  said  on  Saturday,  one  of  the  latest  Israeli  casualties. ",israel,PASSIVE
1156,The Marketing of a Massacre,2023-10-19, Never  mind  that  they  slaughtered  babies. ,israel,ACTIVE
420,New York's Governor Consoles Survivors at Kibbutz,2023-10-19, The  governor  sat  down  to  console  families  whose  loved  ones  had  been  killed  or  taken  hostage. ,israel,PASSIVE
420,New York's Governor Consoles Survivors at Kibbutz,2023-10-19," He  soon  lost  all  contact.His  wife,  56,  a  writer,  and  one  of  his  sons,  25,  were  killed  in  the  attack;  their  bodies,  he  said,  were  found  embracing  each  other.",israel,PASSIVE
420,New York's Governor Consoles Survivors at Kibbutz,2023-10-19," But  the  timing  of  Ms.  Hochul's  visit  --  her  first  international  trip  since  taking  office  in  2021  --  is  anything  but  routine.The  governor  landed  in  Tel  Aviv  on  Wednesday  afternoon  as  Israel  was  amassing  troops  outside  Gaza,  a  week  and  a  half  after  Hamas,  a  Palestinian  militant  group,  killed  over  1,400  Israelis  in  terrorist  attacks  that  have  profoundly  shaken  Israel  and  drawn  comparisons  to  9/11.",israel,ACTIVE
859,"U.S. Official Steps Down, Condemning Arms to Israel",2023-10-20," Biden  has  embraced  Israel  since  Hamas  killed  more  than  1,400  people  and  took  nearly  200  hostages  in  an  attack  early  this  month,  and  his  administration  is  preparing  a  request  of  $14  billion  in  mostly  military  aid,  according  to  officials  familiar  with  the  plan. ",israel,ACTIVE
1052,"After Writing an Anti-Israel Letter, Harvard Students Are Doxxed",2023-10-18,"
A  coalition  of  more  than  30  student  groups  posted  an  open  letter  on  the  night  of  the  Hamas  attack,  saying  that  Israel  was  “entirely  responsible”  for  the  violence  that  ended  up  killing  more  than  1,400  people,  most  of  them  civilians.
",israel,ACTIVE
1052,"After Writing an Anti-Israel Letter, Harvard Students Are Doxxed",2023-10-18," Some  students  knew  people  who  had  been  killed  in  the  attack.

",israel,PASSIVE
372,"In Northern Gaza, the Price of a Ride South Is Out of Reach for Many",2023-10-22," But  a  week  ago,  he  said,  an  Israeli  airstrike  hit  the  place  where  they  were  sheltering  in  the  city  of  Khan  Younis,  killing  the  cousin’s  wife  and  two  daughters. ",palestine,ACTIVE
618,Biden’s Response to Israeli War Meets Centrist Praise and Liberal Anger,2023-10-19,"
In  his  remarks  last  week  and  again  on  Wednesday  in  Tel  Aviv,  Mr.  Biden  sought  to  put  no  daylight  between  the  United  States  and  Israel  —  though  in  his  second  speech,  he  warned  the  Israelis  not  to  “be  consumed”  by  their  rage  about  the  Hamas  attack  this  month  that  killed  more  than  1,400  people. ",israel,ACTIVE
618,Biden’s Response to Israeli War Meets Centrist Praise and Liberal Anger,2023-10-19,"
Some  used  especially  heated  language:  Representative  Rashida  Tlaib  of  Michigan,  speaking  outside  the  Capitol,  said,  “We  are  literally  watching  people  commit  genocide  and  killing  a  vast  majority,  just  like  this,  and  we  still  stand  by  and  say  nothing.”
",palestine,ACTIVE
567,"Deal Is Reached on Aid Through Egypt to Gaza, As Desperation Mounts",2023-10-20," Israel  has  waged  an  intensive  bombing  campaign  of  the  strip  and  directed  about  1.1  million  people  to  evacuate  northern  Gaza  and  head  to  the  south,  closer  to  Egypt.Supplies  of  every  sort  are  nearly  depleted;  included  in  the  aid  waiting  in  Egypt  are  no-training-needed  home  birthing  kits  that  include  basics  like  soap,  plastic  sheets  and  scissors.The  possible  breakthrough  on  aid  delivery  came  amid  protests  in  multiple  countries  after  the  explosion  Tuesday  night  that  killed  hundreds  of  people  at  a  hospital  in  Gaza  City. ",palestine,ACTIVE
567,"Deal Is Reached on Aid Through Egypt to Gaza, As Desperation Mounts",2023-10-20," Israel  and  the  militant  group  Hezbollah  have  traded  artillery  fire  across  Israel's  northern  border  with  Lebanon,  clashes  on  the  West  Bank  have  killed  dozens  of  Palestinians,  and  Iran  has  repeatedly  hinted  at  marshaling  its  allies  across  the  Middle  East  for  a  broader  war  against  Israel.On  a  brief  trip  to  Israel,  President  Biden  said  Wednesday  that  he  had  secured  a  commitment  from  Israel  to  allow  food,  water  and  medicine  to  pass  safely  through  the  Rafah  crossing  as  long  as  it  did  not  reach  Hamas,  and  that  Egypt  had  said  it  would  allow  an  initial  convoy  of  20  aid  trucks  into  the  enclave,  without  specifying  when.By  Thursday,  as  diplomats,  U.N.  officials  and  aid  workers  were  working  out  technical  details,  the  Egyptian  authorities  had  dispatched  the  heavy  machinery  needed  to  repair  roads  near  the  crossing,  according  to  an  aid  official  briefed  on  the  situation  and  a  person  who  works  at  the  crossing,  both  of  whom  asked  not  to  be  named  because  they  were  not  authorized  to  speak  about  the  status  of  the  aid. ",palestine,ACTIVE
567,"Deal Is Reached on Aid Through Egypt to Gaza, As Desperation Mounts",2023-10-20," They  had  already  waited  for  hours  at  Rafah  twice  in  the  previous  five  days  and  hoped  they  would  get  lucky  on  their  third  try.Instead,  an  Israeli  strike  hit  the  outside  of  their  home  that  night,  injuring  the  entire  family  and  killing  his  14-year-old  sister.Mr. ",palestine,ACTIVE
285,Biden Makes Case to U.S. in Seeking Wartime Aid for Two Allies,2023-10-20," Biden  took  his  case  for  the  new  spending  directly  to  the  public  less  than  two  weeks  after  Hamas  terrorists  slaughtered  more  than  1,400  Israelis  and  just  two  days  after  an  explosion  at  a  hospital  in  the  Gaza  Strip  killed  as  many  as  several  hundred  Palestinians. ",both,ACTIVE
285,Biden Makes Case to U.S. in Seeking Wartime Aid for Two Allies,2023-10-20," Biden  took  his  case  for  the  new  spending  directly  to  the  public  less  than  two  weeks  after  Hamas  terrorists  slaughtered  more  than  1,400  Israelis  and  just  two  days  after  an  explosion  at  a  hospital  in  the  Gaza  Strip  killed  as  many  as  several  hundred  Palestinians. ",both,ACTIVE
862,"For the Most Vulnerable Hostages, a Plea for Mercy",2023-10-21, It’s  not  clear  when  they  were  killed  —  during  captivity  or  in  the  initial  moments  of  the  Oct.  7  attack. ,israel,PASSIVE
157,"An American stuck in Gaza hoped to flee. Then, an airstrike hit.",2023-10-19,"
That  night  an  Israeli  airstrike  hit  the  outside  of  their  home,  injuring  the  entire  family  and  killing  his  14-year-old  sister.
",palestine,ACTIVE
601,"Hamas has released two American-Israeli hostages, a mother and daughter.",2023-10-20,"
The  women,  dual  American-Israeli  citizens  who  live  in  Illinois,  had  been  kidnapped  from  Kibbutz  Nahal  Oz  during  the  Oct.  7  Hamas  attacks  on  Israel  that  killed  some  1,400  people,  and  taken  back  to  the  Gaza  Strip. ",israel,ACTIVE
162,Qatar Played Key Role In 2 Hostages' Release,2023-10-22," It  took  American  and  Qatari  diplomacy,  and  self-interested  decisions  by  Hamas,  to  bring  two  hostages  safely  back  to  Israel.On  Oct.  7,  a  few  hours  after  Hamas  began  its  devastating  attack  on  Israel,  Antony  J.  Blinken,  the  American  secretary  of  state,  spoke  by  telephone  with  Qatar's  prime  minister.Hamas  gunmen  had  just  slaughtered  more  than  1,400  people  and  kidnapped  more  than  200,  including  Americans,  and  Mr.  Blinken  raised  the  issue  of  the  hostages  with  the  prime  minister,  according  to  two  senior  State  Department  officials. ",israel,ACTIVE
162,Qatar Played Key Role In 2 Hostages' Release,2023-10-22," And  even  though  Israel  allowed  a  trickle  of  humanitarian  aid  --  20  trucks  for  two  million  people  --  into  Gaza  on  Saturday,  Israeli  warplanes  show  no  sign  of  relenting  in  a  campaign  that  is  intended  to  destroy  Hamas  but  has  also  killed  thousands  of  civilians.Yaakov  Peri,  a  former  head  of  the  Shin  Bet,  the  Israeli  security  service,  said  Israel  may  have  agreed  to  let  humanitarian  aid  enter  Gaza  on  Saturday  morning  in  light  of  the  hostages'  release  Friday  night. ",palestine,ACTIVE
162,Qatar Played Key Role In 2 Hostages' Release,2023-10-22," But  after  the  fighters  broke  through  Israel's  metal  barrier  fence  with  Gaza,  he  said,  members  of  other  armed  groups  and  other  Gazans  poured  in  behind  them.It  was  these  people,  Mr.  al-Hayya  insisted,  who  had  slaughtered  the  Israeli  civilians  and  kidnapped  dozens  of  civilians  and  then  dragged  them  back  through  the  broken  fence  to  Gaza.",israel,ACTIVE
162,Qatar Played Key Role In 2 Hostages' Release,2023-10-22," Videos  show  Hamas  gunmen  shooting  and  killing  unarmed  civilians  on  streets,  in  neighborhoods  and  at  an  outdoor  music  festival. ",israel,ACTIVE
162,Qatar Played Key Role In 2 Hostages' Release,2023-10-22," Videos  show  Hamas  gunmen  shooting  and  killing  unarmed  civilians  on  streets,  in  neighborhoods  and  at  an  outdoor  music  festival. ",israel,
1065,"An Explosion, Then 'Too Many Bodies' to Count",2023-10-19," ""We've  never  lived  through  a  war  this  intense,""  said  a  Palestinian  journalist  who  captured  the  aftermath  of  the  blast  in  Gaza  that  killed  hundreds.Sameh  al-Jaroosha  was  sitting  on  the  edge  of  the  grassy  courtyard  of  the  Ahli  Arab  Hospital  in  Gaza  City  on  Tuesday  night,  talking  to  a  new  acquaintance  who  was  among  the  thousands  of  Palestinian  residents  of  the  city  seeking  refuge  there  in  hopes  that  it  would  be  safer  than  staying  at  home.Then  something  struck  nearby,  he  recounted  on  Wednesday,  sending  an  explosion  throughout  the  area  that  killed  hundreds  of  people. ",palestine,ACTIVE
