,article_index,article_title,article_date,sentence,category,auto_tagged_voice
22,23,"As Israel ramps up war with Hamas, backers cheer destruction of Gaza",10/13/2023," The  scale  of  the  destruction  is  already  staggering,  with  more  than  1,500  Palestinians  killed,  including  at  least  447  children,  and  hospitals  overwhelmed  by  the  flow  of  those  seeking  help. ",palestine,ACTIVE
23,25,"Palestinian Authority struggles to be heard, as public absence adds to chaos",10/12/2023," They  killed  more  than  1,200  people  and  took  more  than  100  hostages  back  to  the  strip.
",israel,ACTIVE
24,25,"Palestinian Authority struggles to be heard, as public absence adds to chaos",10/12/2023,"
Israel  has  responded  with  an  unrelenting  campaign  of  airstrikes  on  Gaza,  killing  more  than  1,000  people,  according  to  the  Palestinian  Health  Ministry. ",palestine,ACTIVE
25,25,"Palestinian Authority struggles to be heard, as public absence adds to chaos",10/12/2023," Israeli  forces  have  killed  23  Palestinians  in  the  West  Bank  since  Saturday,  according  to  the  Health  Ministry  in  Ramallah.
",palestine,ACTIVE
26,25,"Palestinian Authority struggles to be heard, as public absence adds to chaos",10/12/2023,"
At  least  179  Palestinians  have  been  killed  across  the  territory  since  January,  according  to  the  United  Nations,  making  2023  the  deadliest  year  for  West  Bank  Palestinians  in  two  decades. ",palestine,PASSIVE
27,25,"Palestinian Authority struggles to be heard, as public absence adds to chaos",10/12/2023,"
On  Monday,  an  Israeli  airstrike  killed  his  cousin,  her  husband,  two  of  their  children,  her  mother-in-law  and  two  other  family  members  in  their  home  in  northern  Gaza,  he  said. ",palestine,ACTIVE
28,26,How a night of dancing and revelry in Israel turned into a massacre,10/8/2023,"
The  Tribe  of  Nova  trance  music  festival,  near  Kibbutz  Reim,  was  one  of  the  first  targets  for  Hamas  militants  as  they  launched  their  unprecedented  attack  on  Israel  in  the  early  hours  of  Saturday  morning,  overrunning  the  concert  area,  shooting  into  the  crowd  and  grabbing  as  many  hostages  as  they  could. ",israel,
29,26,How a night of dancing and revelry in Israel turned into a massacre,10/8/2023," Across  the  country,  at  least  700  people  have  been  killed. ",israel,PASSIVE
30,26,How a night of dancing and revelry in Israel turned into a massacre,10/8/2023,"
The  festival's  organizers  have  not  responded  to  requests  for  comment  but  posted  a  message  on  Instagram  saying  they  were  ""stunned""  and  ""share  the  grief  of  the  missing  and  murdered  families.""
",israel,
31,26,How a night of dancing and revelry in Israel turned into a massacre,10/8/2023," ""The  people  who  stayed,  most  of  them  got  kidnapped  or  murdered.""
",israel,
32,28,The bodies are still being found in this battle-scarred Israeli kibbutz,10/11/2023," Families  tried  to  hide  but  were  hunted  down  and  killed  in  their  homes.
",israel,
33,28,The bodies are still being found in this battle-scarred Israeli kibbutz,10/11/2023,"
""I'm  emotional  being  here  as  a  mom,  especially,""  Chargé  d'Affaires  Stephanie  Hallett  said,  ""and  hearing  the  stories  of  children  who  were  killed  and  abducted  from  here.""
",israel,PASSIVE
34,28,The bodies are still being found in this battle-scarred Israeli kibbutz,10/11/2023," At  least  103  militants  died  here,  too,  the  military  said. ",palestine,ACTIVE
35,28,The bodies are still being found in this battle-scarred Israeli kibbutz,10/11/2023,"
""You  can  see  the  bodies  —  we  killed  some  of  them  on  the  road,  some  of  them  inside  the  kindergarten,""  he  said. ",palestine,ACTIVE
36,28,The bodies are still being found in this battle-scarred Israeli kibbutz,10/11/2023," We  were  only  five  people  here,  so  I  asked  for  others  to  come  to  help  …  we  killed  them  all.",palestine,ACTIVE
37,29,"Israeli-Palestinian conflict needs moral consistency, not moral clarity",10/12/2023," It's  almost  as  if  people  believe  that  denouncing  the  horrific  slaughter  carried  out  by  Hamas  would  be  nullified  if  they  also  express  concern  about  the  thousands  of  Palestinian  civilians  who  are  likely  to  be  killed  in  the  Israeli  counterattack.
",israel,PASSIVE
38,29,"Israeli-Palestinian conflict needs moral consistency, not moral clarity",10/12/2023,"
Hamas's  barbarism,  both  in  the  number  of  people  it  murdered  (the  Israeli  death  toll  has  now  topped  1,200,  proportionally  equivalent  to  43,000  Americans)  and  the  unspeakable  manner  in  which  it  was  carried  out,  is  already  producing  a  boiling  desire  for  revenge. ",israel,ACTIVE
39,29,"Israeli-Palestinian conflict needs moral consistency, not moral clarity",10/12/2023," But  I'm  horrified  by  Hamas  fighters  going  house  to  house  and  murdering  people  not  because  the  victims  were  Jews  like  me,  but  because  they  were  human  beings. ",israel,ACTIVE
40,29,"Israeli-Palestinian conflict needs moral consistency, not moral clarity",10/12/2023," And  so  are  the  innocent  civilians  now  being  killed  in  Gaza.
",palestine,PASSIVE
41,30,Historic church sheltering civilians struck in deadly Gaza City blast,10/20/2023,"
Maher  Ayyad,  72,  a  member  of  the  community,  said  the  strike  hit  a  two-story  building  in  the  church  compound,  killing  18  people  and  injuring  at  least  20. ",palestine,ACTIVE
42,30,Historic church sheltering civilians struck in deadly Gaza City blast,10/20/2023,"
Among  those  reported  killed  were  relatives  of  former  U.S.  representative  Justin  Amash,  a  Libertarian  who  once  represented  Michigan's  3rd  Congressional  District.
",palestine,
43,30,Historic church sheltering civilians struck in deadly Gaza City blast,10/20/2023,"
Amash  tweeted  Friday  afternoon  that  several  relatives  who  had  been  sheltering  in  the  church,  including  two  women  he  identified  as  Viola  and  Yara,  were  killed  in  the  strike.
",palestine,PASSIVE
44,30,Historic church sheltering civilians struck in deadly Gaza City blast,10/20/2023,"
The  Gaza-based  Palestinian  Health  Ministry  said  Friday  that  at  least  16  Christians  were  killed  in  the  strike.
",palestine,PASSIVE
45,30,Historic church sheltering civilians struck in deadly Gaza City blast,10/20/2023,"
Ayyad  is  also  a  medical  director  at  al-Ahli  Hospital,  where  a  blast  Tuesday  killed  471  people  and  injured  more  than  300,  according  to  Ashraf  al-Qudra,  a  spokesman  for  Gaza's  Health  Ministry. ",palestine,ACTIVE
46,31,Americans flee Israel on complicated charter flights and a cruise ship,10/18/2023,"
""Everybody  knew  someone  who  was  either  on  the  front  line  or  killed  or  a  hostage,""  he  said. ",israel,
47,33,The Hamas horror is also a lesson on the price of populism,10/11/2023," The  terrorists  went  from  house  to  house,  systematically  murdering  families,  killing  parents  in  front  of  their  children  and  taking  hostages,  even  babies  and  grandmothers. ",israel,ACTIVE
48,33,The Hamas horror is also a lesson on the price of populism,10/11/2023," The  terrorists  went  from  house  to  house,  systematically  murdering  families,  killing  parents  in  front  of  their  children  and  taking  hostages,  even  babies  and  grandmothers. ",israel,ACTIVE
49,34,"Israel-Gaza war live updates: Hamas releases two American hostages, a mother and daughter",10/20/2023," Rescuers  were  still  digging  through  the  rubble  after  Thursday's  strike,  which  the  Gaza  health  ministry  said  killed  at  least  16  Christians. ",palestine,ACTIVE
50,34,"Israel-Gaza war live updates: Hamas releases two American hostages, a mother and daughter",10/20/2023,"
Palestinian  officials  said  Israeli  strikes  have  killed  4,137  people  in  Gaza  and  wounded  roughly  13,200. ",palestine,ACTIVE
51,34,"Israel-Gaza war live updates: Hamas releases two American hostages, a mother and daughter",10/20/2023," At  least  1,400  people  in  Israel  have  been  killed  and  more  than  4,500  injured  since  the  Hamas  attack  on  Oct.  7,  Israeli  authorities  said. ",israel,PASSIVE
52,34,"Israel-Gaza war live updates: Hamas releases two American hostages, a mother and daughter",10/20/2023," At  least  32  U.S.  nationals  have  died.
",israel,ACTIVE
53,35,Hamas call for 'day of rage' heightens tensions in U.S.,10/14/2023," More  than  1,500  people  in  Gaza  have  already  been  killed  in  the  bombing  campaign,  a  third  of  them  children,  and  6,600  more  have  been  wounded,  according  to  the  Gaza  Health  Ministry.
",palestine,PASSIVE
54,35,Hamas call for 'day of rage' heightens tensions in U.S.,10/14/2023,"""

Berry's  voice  shook  as  she  explained  how  these  problems,  in  her  view,  are  linked  to  U.S.  leaders'  focus  on  Israeli  victims  at  a  time  when  hundreds  of  Gazans  are  being  killed  and  hundreds  of  thousands  displaced.

""",palestine,PASSIVE
55,36,Protests erupt as aid for Gaza is stalled,10/21/2023," At  the  Nur  Shams  refugee  camp,  funeral  processions  wound  through  the  narrow  streets  Friday  after  a  day-long  Israeli  raid  in  the  area  killed  at  least  13  people  there. ",palestine,ACTIVE
56,36,Protests erupt as aid for Gaza is stalled,10/21/2023, I  feel  their  pain  while  they  watch  as  their  children  get  killed.,palestine,PASSIVE
57,36,Protests erupt as aid for Gaza is stalled,10/21/2023,"
At  least  1,400  people  in  Israel  have  been  killed  and  more  than  4,500  injured  since  the  Hamas  attack  on  Oct.  7,  according  to  Israeli  authorities. ",israel,PASSIVE
58,36,Protests erupt as aid for Gaza is stalled,10/21/2023," Palestinian  officials  said  Israeli  strikes  have  killed  4,137  people  in  Gaza  and  wounded  more  than  13,200.
",palestine,ACTIVE
59,36,Protests erupt as aid for Gaza is stalled,10/21/2023,"
At  the  Nur  Shams  refugee  camp  where  at  least  13  people  were  killed  in  an  Israeli  raid  Thursday,  residents  said  similar  incidents,  arrests  and  clashes  with  Israeli  soldiers  and  settlers  have  been  on  the  rise  since  Oct.  7. ",palestine,PASSIVE
60,36,Protests erupt as aid for Gaza is stalled,10/21/2023,"
Israel's  military  said  an  ""aircraft  struck  an  armed  terrorist  squad  that  posed  a  threat  to  the  soldiers  in  the  area,  killing  a  number  of  terrorists,""  in  a  statement  Thursday. ",palestine,ACTIVE
61,36,Protests erupt as aid for Gaza is stalled,10/21/2023,"
""They  want  revenge  for  what  happened  in  Gaza,""  said  Ahmed  Zazah,  a  university  professor  from  Jenin  and  family  friend  of  one  of  the  people  killed  Thursday. ",palestine,ACTIVE
62,36,Protests erupt as aid for Gaza is stalled,10/21/2023," The  United  Nations  added  that  it  has  received  reports  of  Israeli  security  forces  killing  69  Palestinians,  including  at  least  15  children  and  one  woman,  in  the  West  Bank  since  Oct.  7.
",palestine,ACTIVE
63,36,Protests erupt as aid for Gaza is stalled,10/21/2023, Palestinian  authorities  blamed  the  strike  on  Israel  and  said  it  killed  471  people. ,palestine,ACTIVE
64,36,Protests erupt as aid for Gaza is stalled,10/21/2023," At  least  18  people  were  killed,  said  Maher  Ayyad,  72,  a  member  of  the  religious  community  based  at  the  church.
",palestine,PASSIVE
65,36,Protests erupt as aid for Gaza is stalled,10/21/2023," ""We  can't  just  watch  our  people  being  slaughtered  in  silence,""  he  said,  adding  that  Iraqi  ""resistance  forces""  -  a  reference  to  the  Iran-backed  militias  -  had  started  attacking  U.S.  bases  in  Iraq  in  recent  days.
",palestine,PASSIVE
66,39,"Washington mourns with Israel, calls for peace",10/9/2023," He  attended  a  somber  vigil  Sunday  at  Temple  Sinai  in  Northwest  Washington  to  honor  those  killed  in  the  attack  by  Hamas.
",israel,
67,39,"Washington mourns with Israel, calls for peace",10/9/2023," At  least  700  Israelis  were  killed  Saturday,  and  as  of  Sunday,  Israel  had  officially  declared  war  against  Hamas,  which  rules  the  Gaza  Strip.
",israel,PASSIVE
68,40,A heartbreaking window into life in Gaza,10/11/2023," Soon  after,  dead  Palestinians  who,  like  Toha,  had  gone  out  to  buy  their  families  enough  food  to  last  the  crisis,  killed  by  a  counterstriking  Israeli  missile:  ""I  saw  bodies  without  limbs,  faces  unrecognizable. ",palestine,
69,41,"22 Americans dead, others missing as Israel goes to war against Hamas",10/8/2023," 
Foreign  nationals  from  around  the  world  have  been  reported  killed  or  missing  in  Israel,  as  the  country's  leaders  declared  war  against  Hamas  and  the  combined  death  toll  among  Israelis  and  Palestinians  crossed  2,000.
",both,
70,41,"22 Americans dead, others missing as Israel goes to war against Hamas",10/8/2023,"
At  least  22  Americans  have  been  killed,  the  State  Department  said  Wednesday. ",israel,PASSIVE
71,41,"22 Americans dead, others missing as Israel goes to war against Hamas",10/8/2023,"
Canadian  officials  said  Wednesday  that  two  Canadians  have  been  killed,  one  is  presumed  dead,  and  three  are  missing.
",israel,PASSIVE
72,41,"22 Americans dead, others missing as Israel goes to war against Hamas",10/8/2023,"
Thailand's  Foreign  Ministry  said  Wednesday  that  20  Thai  nationals  were  killed. ",israel,PASSIVE
73,41,"22 Americans dead, others missing as Israel goes to war against Hamas",10/8/2023,"
Seven  Argentines  were  killed  and  15  were  missing  as  of  Monday  evening,  according  to  the  Argentine  Embassy  in  Israel.
",israel,PASSIVE
74,41,"22 Americans dead, others missing as Israel goes to war against Hamas",10/8/2023,"
The  Associated  Press  reported  Sunday  that  France's  Foreign  Ministry  said  a  French  woman  had  died  in  Israel  and  that  the  Belarusian  Foreign  Ministry  said  two  of  its  citizens  were  injured,  one  critically,  during  shelling  in  the  coastal  city  of  Ashkelon.
",israel,ACTIVE
75,41,"22 Americans dead, others missing as Israel goes to war against Hamas",10/8/2023,"
The  BBC,  citing  an  unnamed  official  source,  reported  Wednesday  that  17  British  nationals  may  have  been  killed  or  abducted.
",israel,PASSIVE
76,45,"As Gaza crisis escalates, some experts fear a Hamas ‘surprise’",10/19/2023," Israeli  intelligence  agencies  had  seen  no  evidence  that  Hezbollah  was  capable  of  striking  naval  vessels  miles  off  the  coast  until  July  12  of  that  year  when,  in  the  early  hours  of  intense  fighting,  a  Hezbollah  missile  struck  the  INS  Hanit,  the  flagship  of  the  Israeli  navy,  killing  four  crew  members.
",israel,ACTIVE
77,46,The Hamas horror is also a lesson on the price of populism,10/12/2023," The  terrorists  went  from  house  to  house,  systematically  murdering  families,  killing  parents  in  front  of  their  children  and  taking  hostages,  even  babies  and  grandmothers. ",israel,ACTIVE
78,46,The Hamas horror is also a lesson on the price of populism,10/12/2023," The  terrorists  went  from  house  to  house,  systematically  murdering  families,  killing  parents  in  front  of  their  children  and  taking  hostages,  even  babies  and  grandmothers. ",israel,ACTIVE
79,47,"As Israel reels, Netanyahu agrees to share power with opposition party",10/11/2023,"
A  unity  government  has  been  widely  expected  in  recent  days  amid  soaring  public  anger  at  the  prime  minister  for  failing  to  prevent  the  surprise  attack  by  Hamas  that  has  killed  more  than  1,200,  with  even  his  own  party  loyalists  calling  for  a  new  partnership  with  the  opposition. ",israel,ACTIVE
80,48,Thursday briefing: Gaza humanitarian crisis; Steve Scalise; Ford autoworkers strike; inflation; Powerball jackpot; and more,10/12/2023," Israeli  strikes  have  killed  at  least  1,350  people  since  Saturday's  attack  by  Hamas.

",palestine,ACTIVE
81,48,Thursday briefing: Gaza humanitarian crisis; Steve Scalise; Ford autoworkers strike; inflation; Powerball jackpot; and more,10/12/2023," At  least  25  Americans  have  been  killed,  and  others  may  be  among  the  more  than  100  hostages  in  Gaza.2

House  Republicans  picked  a  nominee  for  House  speaker.


",israel,PASSIVE
82,53,"Israel 'at war' after Hamas attackHundreds killed; Netanyahu readies reprisalsBodies are left in the streets, and dozens of hostages are feared seized'To all civilians in Gaza, I say, get out of there,' Israeli leader pleadsDeath toll continues to climb as sides unleash fusillade of airstrikes, rockets",10/8/2023," Israel  'at  war'  after  Hamas  attackHundreds  killed;  Netanyahu  readies  reprisalsBodies  are  left  in  the  streets,  and  dozens  of  hostages  are  feared  seized'To  all  civilians  in  Gaza,  I  say,  get  out  of  there,'  Israeli  leader  pleadsDeath  toll  continues  to  climb  as  sides  unleash  fusillade  of  airstrikes,  rockets  T-I-T-L-E-E-N-D.  ",israel,ACTIVE
83,53,"Israel 'at war' after Hamas attackHundreds killed; Netanyahu readies reprisalsBodies are left in the streets, and dozens of hostages are feared seized'To all civilians in Gaza, I say, get out of there,' Israeli leader pleadsDeath toll continues to climb as sides unleash fusillade of airstrikes, rockets",10/8/2023," 

JERUSALEM  -  Israeli  Prime  Minister  Benjamin  Netanyahu  declared  Saturday  that  ""we  are  at  war""  after  Hamas  militants  from  Gaza  launched  a  surprise,  multipronged  attack  across  central  and  southern  Israel,  killing  an  estimated  250  Israelis  and  wounding  1,000  more.
",israel,ACTIVE
84,53,"Israel 'at war' after Hamas attackHundreds killed; Netanyahu readies reprisalsBodies are left in the streets, and dozens of hostages are feared seized'To all civilians in Gaza, I say, get out of there,' Israeli leader pleadsDeath toll continues to climb as sides unleash fusillade of airstrikes, rockets",10/8/2023," The  Palestinian  Health  Ministry  said  at  least  232  people  were  killed  and  1,697  wounded  in  Gaza.
",palestine,PASSIVE
85,55,"After two American hostages are freed, hope and anguish remain in Israel",10/21/2023,"
Since  the  Hamas  rampage  killed  more  than  1,400  Israelis,  Israel  has  maintained  a  punishing  air  assault  on  Gaza  targets. ",israel,ACTIVE
86,55,"After two American hostages are freed, hope and anguish remain in Israel",10/21/2023," Palestinian  officials  say  Israeli  strikes  have  killed  at  least  4,385  people  in  Gaza  and  displaced  hundreds  of  thousands  of  civilians. ",palestine,ACTIVE
87,56,Analysts: Gambling on 'pragmatic' Hamas was a mistake,10/12/2023," More  than  1,200  Israelis  were  killed  and  more  than  100  were  captured  as  hostages. ",israel,PASSIVE
88,56,Analysts: Gambling on 'pragmatic' Hamas was a mistake,10/12/2023," In  Gaza,  more  than  1,000  people  have  been  killed,  including  hundreds  of  women  and  children,  according  to  Palestinian  authorities.
",palestine,PASSIVE
89,58,"U.S. ‘surging support’ to Israel, vows aid in Hamas hostage standoff",10/9/2023," 
The  Biden  administration  raced  to  deliver  military  support  to  Israel  on  Monday  in  its  spiraling  conflict  with  Hamas,  as  U.S.  officials  vowed  to  account  for  Americans  killed  or  potentially  held  hostage  in  the  Gaza  Strip.
",israel,
90,58,"U.S. ‘surging support’ to Israel, vows aid in Hamas hostage standoff",10/9/2023,"
""This  is  ISIS-level  savagery  that  we  have  seen  committed  against  Israeli  civilians,""  the  defense  official  told  reporters,  pointing  to  reports  of  militants  executing  children  and  burning  Israeli  homes. ",israel,ACTIVE
91,60,Where are the leaders needed to reach a lasting Middle East peace?,10/20/2023," Our  prayers  joined  with  millions  of  others  from  around  the  world  from  people  mourning  Israelis  and  Palestinians  mercilessly  killed  and  wounded  in  a  place  revered  by  faithful  Christians,  Jews  and  Muslims.
",both,
92,60,Where are the leaders needed to reach a lasting Middle East peace?,10/20/2023,"
Six  days  later,  a  massive  explosion  and  fireball  erupted  in  the  Al-Ahli  hospital's  parking  lot,  reportedly  killing  and  wounding  hundreds,  according  to  Gaza's  health  ministry. ",palestine,ACTIVE
93,62,Why are Israel and Hamas at war? A basic explainer.,10/17/2023," In  total,  at  least  1,400  people  in  Israel  have  been  killed  and  4,562  injured,  authorities  have  said. ",israel,PASSIVE
94,62,Why are Israel and Hamas at war? A basic explainer.,10/17/2023," At  least  31  U.S.  nationals  have  died,  with  13  unaccounted  for.
",israel,ACTIVE
95,62,Why are Israel and Hamas at war? A basic explainer.,10/17/2023," Palestinian  officials  said  that  3,478  people  have  been  killed  and  more  than  12,000  wounded  in  Gaza,  which  has  been  heavily  hit  with  Israeli  air  and  artillery  strikes. ",palestine,PASSIVE
96,63,"U.S. aid arriving in Israel, where Blinken will go this week",10/10/2023,"
In  Israel,  Hamas  militants  have  killed  more  than  1,000  people  and  wounded  2,800  since  Saturday,  according  to  authorities  and  local  media  reports. ",israel,ACTIVE
97,63,"U.S. aid arriving in Israel, where Blinken will go this week",10/10/2023," Palestinian  authorities  said  Israeli  strikes  have  killed  at  least  900  people  and  injured  4,500  in  Gaza.
",palestine,ACTIVE
98,64,West Bank protests spread over Gaza war; militants bide their time,10/18/2023,"
The  militant  group's  Oct.  7  rampage  across  southern  Israel,  which  killed  at  least  1,400  people,  and  the  intensifying  war  in  Gaza  have  united  Palestinians  across  political  and  geographical  lines  —  leaving  their  leaders  in  the  West  Bank  struggling  to  maintain  control  and  contain  calls  for  violent  resistance.
",israel,ACTIVE
99,64,West Bank protests spread over Gaza war; militants bide their time,10/18/2023," At  least  two  Palestinians  were  killed  in  a  town  outside  Ramallah.
",palestine,PASSIVE
100,64,West Bank protests spread over Gaza war; militants bide their time,10/18/2023," More  than  3,000  Gazans  have  been  killed  in  Israeli  airstrikes  since  Oct.  7,  and  hundreds  of  thousands  have  been  displaced.
",palestine,PASSIVE
101,64,West Bank protests spread over Gaza war; militants bide their time,10/18/2023,"
Over  the  same  period,  Israeli  soldiers  and  settlers  have  killed  more  than  60  Palestinians  in  the  West  Bank  and  injured  more  than  1,300,  according  to  the  Palestinian  Health  Ministry. ",palestine,ACTIVE
102,64,West Bank protests spread over Gaza war; militants bide their time,10/18/2023,"
""We  see  our  children  dying  before  us  in  Gaza,""  he  said. ",palestine,ACTIVE
103,65,Gaza residents face food and water shortages as they flee south,10/15/2023,"
Across  Gaza,  shellshocked  residents  awoke  to  the  ninth  day  of  a  punishing  war  between  Israel  and  Hamas,  after  the  militant  group's  gunmen  killed  at  least  1,400  people  in  a  brutal  assault  on  southern  Israeli  communities  on  Oct.  7.
",israel,ACTIVE
104,65,Gaza residents face food and water shortages as they flee south,10/15/2023,"
More  than  2,600  people  have  been  killed  in  Gaza,  Palestinian  officials  said  Sunday,  and  more  than  9,600  injured.
",palestine,PASSIVE
105,65,Gaza residents face food and water shortages as they flee south,10/15/2023," It  said  medical  workers  in  Gaza  are  among  those  who  have  been  killed,  injured  and  displaced.
",palestine,PASSIVE
106,65,Gaza residents face food and water shortages as they flee south,10/15/2023,"
Some  families  were  killed  in  the  homes  or  sites  where  they  sought  shelter.
",palestine,PASSIVE
107,65,Gaza residents face food and water shortages as they flee south,10/15/2023," It  killed  at  least  10  members  of  the  family,  including  Toqa  Abu  al-Ola,  who  was  eight  months  pregnant. ",palestine,ACTIVE
108,66,Pentagon begins 'surging support' as White House contemplates next steps,10/10/2023," 
The  Biden  administration  raced  to  deliver  military  support  to  Israel  on  Monday  in  its  spiraling  conflict  with  Hamas,  as  U.S.  officials  vowed  to  account  for  Americans  killed  or  potentially  held  hostage  in  the  Gaza  Strip.
",israel,
109,66,Pentagon begins 'surging support' as White House contemplates next steps,10/10/2023,"
""This  is  ISIS-level  savagery  that  we  have  seen  committed  against  Israeli  civilians,""  the  defense  official  told  reporters,  pointing  to  reports  of  militants  executing  children  and  burning  Israeli  homes. ",israel,ACTIVE
110,67,Families of Israeli hostages held by Hamas cling to digital clues,10/19/2023," Gunmen  were  rampaging  through  their  tiny  pastoral  community,  shooting  entire  families,  some  at  point-blank  range,  as  they  clung  to  each  other  in  beds  and  safe  rooms.
",israel,ACTIVE
111,67,Families of Israeli hostages held by Hamas cling to digital clues,10/19/2023,"
And  as  Israel  expands  its  punishing  air  campaign  in  Gaza,  which  has  killed  more  than  3,700  people,  hostage  takers  may  lose  electricity  or  cell  reception  and  go  dark  entirely.
",palestine,ACTIVE
