article_index,article_title,article_date,sentence,category,auto_tagged_voice
9,Israelis Shift Tack On Hamas: Crush Instead of Contain,2023-10-11,"
After  last  weekend's  deadly  attacks,  which  killed  hundreds  of  Israeli  civilians,  policy  makers  are  adopting  a  new  approach  toward  a  group  that  the  U.S.  and  Israel  have  designated  a  terrorist  organization:  eradication.
",israel,ACTIVE
10,"The Moral Duty to Destroy Hamas; Israel is entitled to do whatever it takes to uproot this evil, depraved culture that resides next to it.",2023-10-11," 
A  mob  of  Islamist  Arabs  incited  by  Jew-hatred  entered  the  town  and  killed  as  many  Jews  as  they  could  find. ",israel,
10,"The Moral Duty to Destroy Hamas; Israel is entitled to do whatever it takes to uproot this evil, depraved culture that resides next to it.",2023-10-11," They  went  door  to  door,  broke  into  the  homes  of  their  victims,  and  slaughtered  innocent  men,  women  and  children. ",israel,ACTIVE
10,"The Moral Duty to Destroy Hamas; Israel is entitled to do whatever it takes to uproot this evil, depraved culture that resides next to it.",2023-10-11," These  gangs  raped,  mutilated  and  tortured  them  while  screaming  ""Kill  the  Jews!""
",israel,ACTIVE
10,"The Moral Duty to Destroy Hamas; Israel is entitled to do whatever it takes to uproot this evil, depraved culture that resides next to it.",2023-10-11," The  picture  is  essentially  the  same,  only  that  then  the  Arab  riots  that  included  this  massacre  ended  with  133  Jews  murdered. ",israel,ACTIVE
10,"The Moral Duty to Destroy Hamas; Israel is entitled to do whatever it takes to uproot this evil, depraved culture that resides next to it.",2023-10-11," The  videos  showing  mass  murder;  the  kidnapping  of  children,  elderly  and  women;  the  storming  of  a  music  festival  to  shoot  and  kill  whatever  person  they  could  find;  and  the  stories  of  rape,  execution  and  utter  destruction  are  there  for  the  world  to  see.
",israel,ACTIVE
10,"The Moral Duty to Destroy Hamas; Israel is entitled to do whatever it takes to uproot this evil, depraved culture that resides next to it.",2023-10-11," The  videos  showing  mass  murder;  the  kidnapping  of  children,  elderly  and  women;  the  storming  of  a  music  festival  to  shoot  and  kill  whatever  person  they  could  find;  and  the  stories  of  rape,  execution  and  utter  destruction  are  there  for  the  world  to  see.
",israel,
11,"Strike on Gaza Hospital Kills More Than 500, Palestinian Officials Say; As he traveled to Israel, Biden said he was 'outraged and deeply saddened by the explosion'",2023-10-17," Strike  on  Gaza  Hospital  Kills  More  Than  500,  Palestinian  Officials  Say;  As  he  traveled  to  Israel,  Biden  said  he  was  'outraged  and  deeply  saddened  by  the  explosion'  T-I-T-L-E-E-N-D.  ",palestine,ACTIVE
11,"Strike on Gaza Hospital Kills More Than 500, Palestinian Officials Say; As he traveled to Israel, Biden said he was 'outraged and deeply saddened by the explosion'",2023-10-17," 
A  strike  rocked  a  hospital  in  Gaza  on  Tuesday,  killing  hundreds  in  one  of  the  deadliest  single  incidents  of  violence  in  the  strip  —hours  before  President  Biden  was  expected  to  visit  Israel  in  a  show  of  support  .
",palestine,ACTIVE
11,"Strike on Gaza Hospital Kills More Than 500, Palestinian Officials Say; As he traveled to Israel, Biden said he was 'outraged and deeply saddened by the explosion'",2023-10-17,"
Hamas  and  Palestinian  officials  blamed  Israel  and  said  at  least  500  people  were  killed. ",palestine,PASSIVE
11,"Strike on Gaza Hospital Kills More Than 500, Palestinian Officials Say; As he traveled to Israel, Biden said he was 'outraged and deeply saddened by the explosion'",2023-10-17," The  United  States  stands  unequivocally  for  the  protection  of  civilian  life  during  conflict  and  we  mourn  the  patients,  medical  staff  and  other  innocents  killed  or  wounded  in  this  tragedy.",palestine,ACTIVE
11,"Strike on Gaza Hospital Kills More Than 500, Palestinian Officials Say; As he traveled to Israel, Biden said he was 'outraged and deeply saddened by the explosion'",2023-10-17,"
Israeli  shelling  on  Tuesday  hit  a  U.N.  school  serving  as  a  shelter  for  4,000  people,  killing  at  least  six  people  and  injuring  dozens,  the  U.N.  Relief  and  Works  Agency  said  Tuesday.
",palestine,ACTIVE
11,"Strike on Gaza Hospital Kills More Than 500, Palestinian Officials Say; As he traveled to Israel, Biden said he was 'outraged and deeply saddened by the explosion'",2023-10-17,"
In  a  sign  of  the  toll  the  bombardment  is  taking  on  the  group,  Hamas  said  Tuesday  that  the  commander  of  the  central  brigade  of  its  military  wing,  Ayman  Nofal  ""Abu  Ahmed,""  had  been  killed  in  an  Israeli  airstrike. ",palestine,PASSIVE
11,"Strike on Gaza Hospital Kills More Than 500, Palestinian Officials Say; As he traveled to Israel, Biden said he was 'outraged and deeply saddened by the explosion'",2023-10-17," In  its  Oct.  7  attack,  Hamas  killed  at  least  1,400  Israelis  and  took  hostages  ,  according  to  Israeli  authorities.
",israel,ACTIVE
11,"Strike on Gaza Hospital Kills More Than 500, Palestinian Officials Say; As he traveled to Israel, Biden said he was 'outraged and deeply saddened by the explosion'",2023-10-17," It  is  unclear  if  that  includes  about  22  hostages  that  Hamas  says  have  been  killed  during  Israeli  airstrikes.
",israel,PASSIVE
11,"Strike on Gaza Hospital Kills More Than 500, Palestinian Officials Say; As he traveled to Israel, Biden said he was 'outraged and deeply saddened by the explosion'",2023-10-17,"
""Children  are  dying. ",palestine,ACTIVE
11,"Strike on Gaza Hospital Kills More Than 500, Palestinian Officials Say; As he traveled to Israel, Biden said he was 'outraged and deeply saddened by the explosion'",2023-10-17, Parents  are  dying. ,palestine,ACTIVE
12,When Our Smartphones Become Windows to a War; Phones have enabled people to bear witness to unimaginable images of human suffering—in real time,2023-10-14,"
That  video  was  one  of  the  last  things  she  would  send  before  she  was  killed.
",israel,PASSIVE
14,"REVIEW --- The Goal for U.S. Diplomacy with Israel: First calm, Then Peace --- With dangers rising across the Middle East, America needs a two-phase effort to stabilize the conflict in Gaza and resolve core Israeli-Palestinian issues.",2023-10-21,"
All  this  and  more  is  now  among  the  many  casualties  of  Oct.  7,  when  Hamas  militants  stormed  an  unprepared  Israel,  killing  more  than  1,300  people  and  taking  several  hundred  hostages. ",israel,ACTIVE
16,"Biden Links Wars in Israel and Ukraine, Vows to Speed Aid to Allies; U.N., world leaders push to get Gaza aid flowing after Biden pledge",2023-10-20," ""Many  surgeons  died  [in  strikes]  when  they  returned  home  to  rest,""  he  said.
",palestine,ACTIVE
16,"Biden Links Wars in Israel and Ukraine, Vows to Speed Aid to Allies; U.N., world leaders push to get Gaza aid flowing after Biden pledge",2023-10-20,"
Majdy  Jildah,  who  had  been  seeking  refuge  at  the  church,  said  one  child  may  have  been  killed. ",palestine,PASSIVE
16,"Biden Links Wars in Israel and Ukraine, Vows to Speed Aid to Allies; U.N., world leaders push to get Gaza aid flowing after Biden pledge",2023-10-20,"
More  than  3,785  people,  including  1,524  children  and  more  than  1,000  women,  have  been  killed  in  the  Gaza  Strip  in  the  past  two  weeks,  according  to  the  Hamas-controlled  Ministry  of  Health  in  Gaza. ",palestine,PASSIVE
16,"Biden Links Wars in Israel and Ukraine, Vows to Speed Aid to Allies; U.N., world leaders push to get Gaza aid flowing after Biden pledge",2023-10-20,"
Israel  launched  its  airstrike  campaign  on  Oct.  7  in  response  to  the  unprecedented  Hamas  attack  inside  southern  Israel  that  killed  1,400  people,  according  to  the  Israeli  government.
",israel,ACTIVE
16,"Biden Links Wars in Israel and Ukraine, Vows to Speed Aid to Allies; U.N., world leaders push to get Gaza aid flowing after Biden pledge",2023-10-20,"
The  Israel  Defense  Forces  say  they  have  carried  out  thousands  of  airstrikes,  killing  Hamas  leaders,  targeting  militants  launching  rockets  into  Israel  every  day,  razing  high-rise  apartment  buildings  and  leveling  entire  neighborhoods.
",palestine,ACTIVE
16,"Biden Links Wars in Israel and Ukraine, Vows to Speed Aid to Allies; U.N., world leaders push to get Gaza aid flowing after Biden pledge",2023-10-20,"
On  Thursday,  an  airstrike  in  Gaza  killed  Jehad  Mheisen,  the  leader  of  Hamas's  National  Security  Forces,  along  with  several  other  family  members  at  his  house,  the  militant  group  said  Thursday. ",palestine,ACTIVE
16,"Biden Links Wars in Israel and Ukraine, Vows to Speed Aid to Allies; U.N., world leaders push to get Gaza aid flowing after Biden pledge",2023-10-20," Jamila  al-Shanti,  the  first  woman  in  Hamas  political  bureau,  was  also  killed.
",palestine,PASSIVE
22,"What We Know About the Gaza Hospital Blast; Competing versions of events, protests followed explosion at a hospital compound",2023-10-19,"
Militant  group  Hamas  immediately  blamed  Israeli  airstrikes  for  the  blast  at  the  Al-Ahli  Arab  hospital  and  said  500  people  had  been  killed. ",palestine,PASSIVE
22,"What We Know About the Gaza Hospital Blast; Competing versions of events, protests followed explosion at a hospital compound",2023-10-19," The  amount  of  damage  also  appears  inconsistent  with  the  Hamas-controlled  Gaza  Health  Ministry's  assertion  on  Wednesday  that  471  people  were  killed,  experts  said. ",palestine,PASSIVE
22,"What We Know About the Gaza Hospital Blast; Competing versions of events, protests followed explosion at a hospital compound",2023-10-19," Those  killed  by  the  explosion  were  likely  many  Gazans  who  had  been  camped  out  in  the  parking  lot,  Israeli  military  spokesman  Daniel  Hagari  said.
",palestine,ACTIVE
24,"Gazans' Conditions Worsen As Ground War Nears --- Israel strikes fighters in Lebanon, U.S. seeks to ease threat of wider conflict",2023-10-16,"
The  developments  in  the  north  highlight  the  risks  of  the  conflict  spreading,  especially  as  Israel  prepares  for  an  unprecedented  ground  assault  against  Gaza  in  retaliation  for  the  attack  earlier  this  month  by  Hamas  militants  that  killed  at  least  1,400  Israelis  --  the  highest  single-day  death  toll  for  Jews  since  the  Holocaust.
",israel,ACTIVE
24,"Gazans' Conditions Worsen As Ground War Nears --- Israel strikes fighters in Lebanon, U.S. seeks to ease threat of wider conflict",2023-10-16,"
An  Israeli  airstrike  in  southern  Gaza  late  Saturday  killed  Billal  Al  Kedra,  a  Hamas  commander  responsible  for  a  massacre  at  Kibbutz  Nirim,  the  Israel  Defense  Forces  said  Sunday. ",palestine,ACTIVE
24,"Gazans' Conditions Worsen As Ground War Nears --- Israel strikes fighters in Lebanon, U.S. seeks to ease threat of wider conflict",2023-10-16, Some  289  Israeli  soldiers  died  on  Oct.  7  and  afterwards. ,israel,ACTIVE
24,"Gazans' Conditions Worsen As Ground War Nears --- Israel strikes fighters in Lebanon, U.S. seeks to ease threat of wider conflict",2023-10-16," The  toll  of  U.S.  citizens  killed  by  Hamas  in  Israel  has  risen  to  30  people,  the  State  Department  said.
",israel,ACTIVE
30,"At Israel-Lebanon Border, Fears Grow of a Second Front; Conflict with powerful Hezbollah militants would stretch Israeli army and air defenses",2023-10-12,"
Deadly,  but  so  far  sporadic,  clashes  with  Hezbollah  have  already  erupted  in  the  area,  as  the  bulk  of  the  Israeli  military  is  massing  in  southern  Israel,  poised  to  launch  a  major  ground  offensive  in  Gaza  against  Hamas  militants  who  have  killed  more  than  1,300  Israelis  since  last  weekend.
",israel,ACTIVE
30,"At Israel-Lebanon Border, Fears Grow of a Second Front; Conflict with powerful Hezbollah militants would stretch Israeli army and air defenses",2023-10-12, Hezbollah  responded  with  an  attack  that  killed  the  deputy  commander  of  the  Israeli  army  brigade  in  the  region  and  two  soldiers. ,israel,ACTIVE
30,"At Israel-Lebanon Border, Fears Grow of a Second Front; Conflict with powerful Hezbollah militants would stretch Israeli army and air defenses",2023-10-12,"
In  that  conflict,  Hezbollah  launched  some  4,000  rockets  in  attacks  that  killed  120  members  of  Israel's  military  and  at  least  40  civilians. ",israel,ACTIVE
30,"At Israel-Lebanon Border, Fears Grow of a Second Front; Conflict with powerful Hezbollah militants would stretch Israeli army and air defenses",2023-10-12," When  you  say  revenge:  I  definitely  want  to  kill  whoever  killed  our  innocent  people,  our  babies,  our  women. ",israel,
30,"At Israel-Lebanon Border, Fears Grow of a Second Front; Conflict with powerful Hezbollah militants would stretch Israeli army and air defenses",2023-10-12," When  you  say  revenge:  I  definitely  want  to  kill  whoever  killed  our  innocent  people,  our  babies,  our  women. ",israel,ACTIVE
33,"Hamas Militants Had Detailed Maps of Israeli Towns, Military Bases and Infiltration Routes; Documents found on Hamas militants show scale of planning behind deadly attack",2023-10-12,"
More  than  1,300  Israelis  were  killed  in  the  attacks,  which  have  deeply  shaken  the  country's  sense  of  security  and  prompted  Israel  to  declare  war  on  Hamas.
",israel,PASSIVE
33,"Hamas Militants Had Detailed Maps of Israeli Towns, Military Bases and Infiltration Routes; Documents found on Hamas militants show scale of planning behind deadly attack",2023-10-12,"
Attackers  killed  in  the  town  of  Ofakim  near  Gaza,  also  were  carrying  maps  and  other  documents,  said  Almog  Cohen,  a  resident  and  a  member  of  the  Israeli  Parliament,  who  took  part  in  the  fighting. ",palestine,ACTIVE
38,Israel Readies for Ground War in Gaza; President Biden condemns Hamas attack amid fears of wider conflict; Israeli airstrikes pound enclave,2023-10-10,"
Israeli  airstrikes  reduced  parts  of  an  upmarket  Gaza  City  neighborhood  to  rubble  as  the  Israeli  government  stepped  up  its  reaction  to  this  weekend's  cross-border  incursion  by  Hamas  gunmen  who  killed  more  than  1,000  civilians  and  took  more  than  100  hostages  .
",israel,ACTIVE
38,Israel Readies for Ground War in Gaza; President Biden condemns Hamas attack amid fears of wider conflict; Israeli airstrikes pound enclave,2023-10-10,"
The  U.S.  said  that  at  least  14  of  its  citizens  had  died,  and  about  20  Americans  remain  unaccounted  for,  according  to  U.S.  officials. ",israel,ACTIVE
38,Israel Readies for Ground War in Gaza; President Biden condemns Hamas attack amid fears of wider conflict; Israeli airstrikes pound enclave,2023-10-10," The  Israeli  strikes  that  followed  have  killed  900  people  in  Gaza,  according  to  the  Palestinian  enclave's  health  ministry.
",palestine,ACTIVE
38,Israel Readies for Ground War in Gaza; President Biden condemns Hamas attack amid fears of wider conflict; Israeli airstrikes pound enclave,2023-10-10," Palestinian  militants  launched  more  rockets  into  southern  Israel  on  Tuesday,  killing  two  foreign  workers  in  the  Eshkol  region,  according  to  Israeli  first  responders.
",israel,ACTIVE
38,Israel Readies for Ground War in Gaza; President Biden condemns Hamas attack amid fears of wider conflict; Israeli airstrikes pound enclave,2023-10-10,"
Elsewhere,  Israeli  police  shot  dead  two  Palestinians  who  threw  fireworks  at  police  in  East  Jerusalem's  Silwan  neighborhood  on  Tuesday,  according  to  Israeli  police  and  the  Palestinian  Red  Crescent.
",palestine,ACTIVE
38,Israel Readies for Ground War in Gaza; President Biden condemns Hamas attack amid fears of wider conflict; Israeli airstrikes pound enclave,2023-10-10,"
An  exchange  of  fire  on  Monday  killed  at  least  three  members  of  the  group  and  one  Israeli  military  officer. ",israel,ACTIVE
39,"Taking Gaza Would Be Possible, Sieges From Mosul to Mariupol Show—but at a Steep Cost; Israel's planned land campaign against Hamas promises to be destructive and bloody as urban warfare favors defenders",2023-10-22," Some  4,000  Palestinians  have  already  been  killed  by  the  bombing  campaign,  according  to  Gaza's  Hamas-controlled  health  ministry,  a  toll  that  sparked  protests  and  calls  for  a  cease-fire  from  around  the  world.
",palestine,PASSIVE
39,"Taking Gaza Would Be Possible, Sieges From Mosul to Mariupol Show—but at a Steep Cost; Israel's planned land campaign against Hamas promises to be destructive and bloody as urban warfare favors defenders",2023-10-22,"
The  health  ministry's  numbers,  which  are  unverified,  include  471  Palestinians  it  said  were  killed  Oct.  17  in  the  Al-Ahli  Arab  Hospital  ,  a  blast  that  the  U.S.  and  independent  analysts  say  was  caused  by  a  misfired  Palestinian  rocket  and  caused  a  significantly  smaller  toll.
",palestine,PASSIVE
39,"Taking Gaza Would Be Possible, Sieges From Mosul to Mariupol Show—but at a Steep Cost; Israel's planned land campaign against Hamas promises to be destructive and bloody as urban warfare favors defenders",2023-10-22," Despite  Israel's  initial  failures  on  Oct.  7  ,  when  Hamas  overran  Israeli  border  villages  and  towns,  killing  some  1,400  people,  most  of  them  civilians,  the  Israel  Defense  Forces  are  a  much  more  capable  military  than  the  Russian  forces  in  Mariupol,  let  alone  Iraqi  troops  and  militias  that  battled  in  Mosul,  or  Syrian  militias  that  ousted  Islamic  State  from  Raqqa  in  2017.
",israel,ACTIVE
40,"What Israeli Victory Would Look Like; To achieve its objectives in Gaza and secure the Jewish state, Jerusalem needs to turn the tables on Tehran.",2023-10-13," ""There  was  no  scenario  where  anybody  talked  about  22  villages,  a  whole  area  of  the  country,  1,200  Israelis  killed,  including  800  to  900  civilians. ",israel,ACTIVE
45,The 'Ceasefire' in Gaza Mirage; Calls by some Democrats for both sides to end the violence now are a license for Hamas.,2023-10-08,"
A  ceasefire  now  would  reward  those  who  started  the  war  that  by  this  writing  had  killed  700  in  Israel. ",israel,ACTIVE
48,The Moral Duty to Destroy Hamas,2023-10-12," 
A  mob  of  Islamist  Arabs  incited  by  Jew-hatred  entered  the  town  and  killed  as  many  Jews  as  they  could  find. ",israel,
48,The Moral Duty to Destroy Hamas,2023-10-12," They  went  door  to  door,  broke  into  the  homes  of  their  victims,  and  slaughtered  innocent  men,  women  and  children. ",israel,ACTIVE
48,The Moral Duty to Destroy Hamas,2023-10-12," These  gangs  raped,  mutilated  and  tortured  them  while  screaming  ""Kill  the  Jews!""
",israel,ACTIVE
48,The Moral Duty to Destroy Hamas,2023-10-12," The  picture  is  essentially  the  same,  only  that  then  the  Arab  riots  that  included  this  massacre  ended  with  133  Jews  murdered. ",israel,ACTIVE
48,The Moral Duty to Destroy Hamas,2023-10-12," The  videos  showing  mass  murder;  the  kidnapping  of  children,  elderly  and  women;  the  storming  of  a  music  festival  to  shoot  and  kill  whatever  person  they  could  find;  and  the  stories  of  rape,  execution  and  utter  destruction  are  there  for  the  world  to  see.
",israel,ACTIVE
48,The Moral Duty to Destroy Hamas,2023-10-12," The  videos  showing  mass  murder;  the  kidnapping  of  children,  elderly  and  women;  the  storming  of  a  music  festival  to  shoot  and  kill  whatever  person  they  could  find;  and  the  stories  of  rape,  execution  and  utter  destruction  are  there  for  the  world  to  see.
",israel,
49,President To Visit Israel in Show of Support,2023-10-17,"
In  its  Oct.  7  attack,  Hamas  killed  at  least  1,400  Israelis  and  took  hundreds  of  hostages. ",israel,ACTIVE
49,President To Visit Israel in Show of Support,2023-10-17," It  is  unclear  if  that  total  includes  about  22  hostages  who  Hamas  said  have  been  killed  during  Israeli  airstrikes.
",israel,PASSIVE
50,World News: Biden Heads for Israel Hours After Blast --- Explosion causes cancellation of planned summit with Arab leaders,2023-10-18," 
WASHINGTON  --  President  Biden  on  Tuesday  flew  to  Israel  to  show  his  support  for  the  beleaguered  nation  on  Tuesday,  hours  after  an  explosion  at  a  hospital  in  Gaza  killed  hundreds,  inflaming  the  region  and  prompting  the  cancellation  of  a  major  summit  with  Arab  leaders.
",palestine,ACTIVE
50,World News: Biden Heads for Israel Hours After Blast --- Explosion causes cancellation of planned summit with Arab leaders,2023-10-18,"
""The  United  States  stands  unequivocally  for  the  protection  of  civilian  life  during  conflict  and  we  mourn  the  patients,  medical  staff  and  other  innocents  killed  or  wounded  in  this  tragedy,""  Biden  said  in  a  statement.
",palestine,ACTIVE
50,World News: Biden Heads for Israel Hours After Blast --- Explosion causes cancellation of planned summit with Arab leaders,2023-10-18," Some  Democrats  are  criticizing  Israel's  airstrikes  that  have  killed  Palestinians  in  Gaza  and  have  expressed  concerns  about  the  president's  staunch  support  for  Israel  ahead  of  a  ground  offensive.
",palestine,ACTIVE
51,Simchat Torah and the Jewish Love of Life,2023-10-13,"""  That  sentiment  drove  Hamas's  terrorists  as  they  hunted  down,  tortured  and  murdered  soldiers  and  civilians,  elderly  and  children.
",israel,
52,"U.S., Experts Say Evidence Suggests Palestinian Militants' Rocket Hit Gaza Hospital; Middle East convulses even as Western intelligence discounts claims that an Israeli strike caused the deadly explosion",2023-10-19,"
The  amount  of  damage  also  appears  inconsistent  with  the  Hamas-controlled  Gaza  Health  Ministry's  assertion  that  471  people  were  killed,  experts  said. ",palestine,PASSIVE
52,"U.S., Experts Say Evidence Suggests Palestinian Militants' Rocket Hit Gaza Hospital; Middle East convulses even as Western intelligence discounts claims that an Israeli strike caused the deadly explosion",2023-10-19,"
""The  U.S.  government  assesses  that  Israel  was  not  responsible  for  an  explosion  that  killed  hundreds  of  civilians  yesterday  at  the  Al  Ahli  Hospital  in  the  Gaza  Strip,''  White  House  National  Security  Council  spokeswoman  Adrienne  Watson  said.  """,palestine,ACTIVE
52,"U.S., Experts Say Evidence Suggests Palestinian Militants' Rocket Hit Gaza Hospital; Middle East convulses even as Western intelligence discounts claims that an Israeli strike caused the deadly explosion",2023-10-19, There  were  some  characteristics  with  the  Palestinians  killed  in  the  strike  that  have  led  me  to  believe  that  there  was  a  lot  more  fire  that  came  from  the  impact  than  just  pure  blast  energy.,palestine,ACTIVE
52,"U.S., Experts Say Evidence Suggests Palestinian Militants' Rocket Hit Gaza Hospital; Middle East convulses even as Western intelligence discounts claims that an Israeli strike caused the deadly explosion",2023-10-19," Some  1,400  Israelis  were  killed  in  the  Hamas  attack,  and  at  least  200  hostages  were  taken  to  Gaza. ",israel,PASSIVE
52,"U.S., Experts Say Evidence Suggests Palestinian Militants' Rocket Hit Gaza Hospital; Middle East convulses even as Western intelligence discounts claims that an Israeli strike caused the deadly explosion",2023-10-19," Before  the  hospital  blast,  3,000  people  had  been  killed  in  Gaza,  according  to  the  Hamas-run  Health  Ministry. ",palestine,PASSIVE
58,"Families in Gaza Fear for Their Lives Even After Fleeing to the South; About 600,000 people have left northern Gaza for the south, where they still suffer from lack of critical supplies",2023-10-17," Israel  has  cut  off  supplies  of  water,  fuel  and  food  to  the  enclave  after  the  Oct.  7  attack  on  Israeli  towns  that  killed  more  than  1,400  Israelis.
",israel,ACTIVE
58,"Families in Gaza Fear for Their Lives Even After Fleeing to the South; About 600,000 people have left northern Gaza for the south, where they still suffer from lack of critical supplies",2023-10-17,"
She  broke  down  speaking  about  how  she  hadn't  yet  told  her  daughters  about  their  friend  of  the  same  age  who  had  been  killed  when  an  airstrike  hit  her  family's  home. ",palestine,PASSIVE
58,"Families in Gaza Fear for Their Lives Even After Fleeing to the South; About 600,000 people have left northern Gaza for the south, where they still suffer from lack of critical supplies",2023-10-17,"
Eight  people  in  Abusada's  cousin's  family  were  killed  in  an  airstrike  in  northern  Gaza. ",palestine,PASSIVE
59,"World News: Fears About a Second Front Grow --- Fighting Hezbollah on northern border would stretch Israeli army, air defenses",2023-10-13,"
Deadly,  but  so  far  sporadic,  clashes  with  Hezbollah  have  already  erupted  in  the  area,  as  the  bulk  of  the  Israeli  military  is  massing  in  southern  Israel,  poised  to  launch  a  major  ground  offensive  in  Gaza  against  Hamas  militants  who  have  killed  more  than  1,300  Israelis  since  last  weekend.
",israel,ACTIVE
59,"World News: Fears About a Second Front Grow --- Fighting Hezbollah on northern border would stretch Israeli army, air defenses",2023-10-13,"
Hezbollah  responded  with  an  attack  that  killed  the  deputy  commander  of  the  Israeli  army  brigade  in  the  region  and  two  soldiers.
",israel,ACTIVE
59,"World News: Fears About a Second Front Grow --- Fighting Hezbollah on northern border would stretch Israeli army, air defenses",2023-10-13," When  you  say  revenge:  I  definitely  want  to  kill  whoever  killed  our  innocent  people,  our  babies,  our  women. ",israel,
59,"World News: Fears About a Second Front Grow --- Fighting Hezbollah on northern border would stretch Israeli army, air defenses",2023-10-13," When  you  say  revenge:  I  definitely  want  to  kill  whoever  killed  our  innocent  people,  our  babies,  our  women. ",israel,ACTIVE
61,"Biden, Deterrence and Iran",2023-10-16," Hamas  terrorists  killed  at  least  29  Americans  in  their  bloody  assault,  and  an  unknown  number  of  U.S.  citizens  are  captives  in  Gaza. ",israel,ACTIVE
64,Assault by Hamas Rewrites The Rules in the Middle East,2023-10-12," 
DUBAI  --  Saturday's  attack  on  Israel  by  Hamas  militants,  who  killed  more  than  1,200  people  and  kidnapped  many  more  to  the  Gaza  Strip,  has  upended  fundamental  assumptions  about  the  Middle  East.
",israel,ACTIVE
64,Assault by Hamas Rewrites The Rules in the Middle East,2023-10-12," After  swiftly  breaching  Israeli  border  fortifications  and  overrunning  military  bases,  Hamas  gunmen  went  on  a  killing  spree  --  causing  the  worst  loss  of  Jewish  lives  since  the  Holocaust.
",israel,
64,Assault by Hamas Rewrites The Rules in the Middle East,2023-10-12," Israel's  high-tech  border-surveillance  system  around  Gaza  was  knocked  down  with  cheap  drones,  senior  officers  were  killed  at  captured  Israeli  military  bases,  and  it  took  several  hours  for  Israeli  forces  to  start  driving  back  Hamas  --  time  that  Palestinian  gunmen  used  to  murder  or  kidnap  civilians.
",israel,PASSIVE
